dur_code,ingr_code_a,ingr_code_b,prohibit_content,notification_date,rule_version,source_ref
USJNT_TABOO,D000022,D000259,심실부정맥(Torsade de pointes) 위험 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000259,심실부정맥(Torsade de pointes) 위험 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000259,D000513,심실부정맥(Torsade de pointes) 위험 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000452,D000716,혈액학적 독성,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000213,D000373,"pimozide의 혈중농도 상승, QT연장",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000213,D000256,QT연장 등,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000770,병용을 하여도 항균작용이 증가되지 않음,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000678,병용을 하여도 항균작용이 증가되지 않음,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000713,병용을 하여도 항균작용이 증가되지 않음,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000517,D000592,triazolam 의 약리학적 효과 및 작용증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000113,D000560,혈압강하효과,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000007,D000762,midazolam 의 약리학적 효과 및 작용(수면유도 및 진정작용 등의 중추신경 억제 효과) 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000213,D000762,QT 간격 연장 및 심실부정맥(Torsade de pointes) 위험 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000007,D000769,midazolam 의 약리학적 효과 및 작용증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000592,D000769,triazolam 의 약리학적 효과 및 작용증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000429,심각한 혈압저하 위험 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000414,심실성빈맥(Torsade de pointes),2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000429,D000650,수마트립탄의 혈장농도 증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000560,D000781,혈압강하효과,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000516,"세로토닌성 증후군 (고혈압, 고열, 경련, 정신상태 변화등)",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000027,D000256,"근병증, 횡문근융해의 위험증가",2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000256,D000592,triazolam 의 약리학적 효과 및 작용증가,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000065,D000249,신결석,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000739,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000138,D000274,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000463,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000506,,2016-12-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000071,D000274,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000705,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000230,D000274,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000427,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000060,D000274,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000429,D000448,교감신경흥분제의 작용 증강 또는 연장,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000213,D000362,QT연장,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000213,D000466,QT연장,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000027,D000763,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000027,D000626,횡문근융해를 포함한 근육병증 위험 가능,2023-12-20,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000003,D000027,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000031,D000298,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000298,D000575,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000274,D000702,출혈 및 프로트롬빈시간 연장,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000211,D000298,중증의 위장관계 이상반응,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000277,D000650,세로토닌 증후군,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000059,D000650,세로토닌 증후군,2009-03-03,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000019,D000503,두개내압 증가,2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000019,D000127,두개내압 증가,2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000019,D000754,두개내압 증가,2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000019,D000064,두개내압 증가,2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000259,D000712,"부정맥, 혈액장애, 발작 등 중대한 이상반응",2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000259,D000429,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000248,"세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000429,D000657,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)",2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000139,D000657,"교감신경흥분제의 작용 증강 또는 연장(고혈압, 빈맥 등)",2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000150,D000202,"맥각독성(말초혈관 경련, 사지와 기타 조직의 허혈, 감각이상 등) 위험 증가",2007-04-11,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
